Course ID,CRN,Department,Course Title,Cr Hr,Typ,Days,From-Time,To-Time,Start-Date To End-Date,Bldg,Room,Max_Enr,PoT,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Comment,,,,,,,
COMP-3649-001,10619,MATHEMATICS & COMPUTING,Programming Paradigms,3,LEC,T R,1130am,1250pm,06-JAN-21 To 24-APR-21,LP,E204,25,1,Elahi B,,,,Lecture 001 take tutorial 401.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-3649-401,10620,MATHEMATICS & COMPUTING,Tutorial,0,TUT,W,1230pm,1420pm,06-JAN-21 To 24-APR-21,LP,E203,25,1,Elahi B,,,,,,,,,,,
COMP-3659-001,10621,MATHEMATICS & COMPUTING,Operating Systems,3,LEC,T R,1430pm,1550pm,06-JAN-21 To 24-APR-21,LP,T231,35,1,Schroeder M,,,,Lecture 001 take lab 501.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-3659-501,10622,MATHEMATICS & COMPUTING,Laboratory,0,LAB,W F,1100am,1150am,06-JAN-21 To 24-APR-21,LP,E203,35,1,Schroeder M,,,,,,,,,,,
COMP-4522-001,10623,MATHEMATICS & COMPUTING,Database II:Advanced Database,3,LEC,W F,1000am,1120am,06-JAN-21 To 24-APR-21,EB,EB1109,30,1,Ittyipe S,,,,Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-4543-001,10624,MATHEMATICS & COMPUTING,Project Mgmt & Quality Assuran,3,LEC,T R,1000am,1120am,06-JAN-21 To 24-APR-21,LP,B202,35,1,TBA,,,,Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-4635-001,10625,MATHEMATICS & COMPUTING,Distributed Systems,3,LEC,T R,1000am,1120am,06-JAN-21 To 24-APR-21,LP,T230,29,1,Elahi B,,,,Lecture 001 take tutorial 401.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-4635-401,10626,MATHEMATICS & COMPUTING,Tutorial,0,TUT,W,1000am,1050am,06-JAN-21 To 24-APR-21,LP,T139,29,1,Elahi B,,,,,,,,,,,
COMP-5590-001,10627,MATHEMATICS & COMPUTING,Senior Project,3,LEC,TBA,TBA,TBA,06-JAN-21 To 24-APR-21,TBA,TBA,10,1,Fedoruk A,,,,RESTRICTION: Bachelor of Computer Information Systems and Department Approval |,,,,,,,
MATH-0115-001,11455,MATHEMATICS & COMPUTING,Foundations of Mathematics I,0,LEC,M W,1230pm,1420pm,06-JAN-21 To 24-APR-21,LP,Y316,40,1,TBA,,,,Lecture 001 take tutorial 401 or 402.,,,,,,,
MATH-0115-001,11455,MATHEMATICS & COMPUTING,Foundations of Mathematics I,0,LEC,F,1230pm,1320pm,06-JAN-21 To 24-APR-21,LP,Y316,40,1,TBA,,,,Lecture 001 take tutorial 401 or 402.,,,,,,,
